school,municipality,lon,lat,unique_id
St Mary Catholic School,Tecumseh,-82.884759,42.209004,St Mary Catholic SchoolTecumseh
St Pius X Catholic School,Tecumseh,-82.883453,42.321029,St Pius X Catholic SchoolTecumseh
St. Peter Catholic Elementary School,Tecumseh,-82.8821201,42.2810584,St. Peter Catholic Elementary SchoolTecumseh
St Peter Catholic School,Tecumseh,-82.8821201,42.2810584,St Peter Catholic SchoolTecumseh
A V Graham Public School,Tecumseh,-82.8789954,42.3184294,A V Graham Public SchoolTecumseh
Colchester North Public School,Essex,-82.875401,42.1350696,Colchester North Public SchoolEssex
É Élém C Ste-Marguerite-d'Youville,Tecumseh,-82.8742914,42.3202663,É Élém C Ste-Marguerite-d'YouvilleTecumseh
École élémentaire catholique Ste-Marguerite-d'Youville,Tecumseh,-82.8742914,42.3202663,École élémentaire catholique Ste-Marguerite-d'YouvilleTecumseh
École catholique secondaire l'Essor,Windsor,-82.8632004,42.3144175,École catholique secondaire l'EssorWindsor
École élémentaire catholique l'Essor,Tecumseh,-82.8632004,42.3144175,École élémentaire catholique l'EssorTecumseh
École catholique secondaire l'Essor,Tecumseh,-82.8632004,42.3144175,École catholique secondaire l'EssorTecumseh
École secondaire catholique l'Essor,Tecumseh,-82.8632004,42.3144175,École secondaire catholique l'EssorTecumseh
St. Andre French Immersion Catholic Elementary School,Tecumseh,-82.858251,42.314848,St. Andre French Immersion Catholic Elementary SchoolTecumseh
St. André,Tecumseh,-82.858251,42.314848,St. AndréTecumseh
St. Andr�,Tecumseh,-82.858251,42.314848,St. Andr�Tecumseh
Essex District High School,Essex,-82.8291311,42.1792268,Essex District High SchoolEssex
Holy Name Catholic School,Essex,-82.8218187,42.1642443,Holy Name Catholic SchoolEssex
Essex Public School,Essex,-82.8139888,42.1733126,Essex Public SchoolEssex
Lakeshore Discovery School,Lakeshore,-82.7732811,42.2900342,Lakeshore Discovery SchoolLakeshore
St Anne Secondary School,Lakeshore,-82.765594,42.289106,St Anne Secondary SchoolLakeshore
St William Catholic School,Lakeshore,-82.760531,42.294296,St William Catholic SchoolLakeshore
Kingsville Public School,Kingsville,-82.7410358,42.0395907,Kingsville Public SchoolKingsville
Jack Miner Public School,Kingsville,-82.7362472,42.0643564,Jack Miner Public SchoolKingsville
St John de Brebeuf Catholic School,Kingsville,-82.734466,42.036738,St John de Brebeuf Catholic SchoolKingsville
